Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
120,Rafael Palmeiro,2000,35,TEX,AL,158,678,565,102,163,92,29,3,39,120,2,1,103,77,.288,.397,.558,.954,138,315,14,3,0,7,17,3D/H,palmera01
121,Dean Palmer,2000,31,DET,AL,145,604,524,73,134,81,22,2,29,102,4,2,66,146,.256,.338,.471,.809,108,247,9,4,0,10,2,*53D/H,palmede01
122,Jay Payton,2000,27,NYM,NL,149,529,488,63,142,101,23,1,17,62,5,11,30,60,.291,.331,.447,.778,98,218,9,3,0,8,0,*8H/7,paytoja01
123,Neifi Pérez,2000,27,COL,NL,162,699,651,92,187,127,39,11,10,71,3,6,30,63,.287,.314,.427,.741,69,278,9,0,7,11,6,*6/H,perezne01
124,Mike Piazza,2000,31,NYM,NL,136,545,482,90,156,92,26,0,38,113,4,2,58,69,.324,.398,.614,1.012,155,296,15,3,0,2,10,*2/HD,piazzmi01
125,Jorge Posada,2000,29,NYY,AL,151,624,505,92,145,81,35,1,28,86,2,2,107,151,.287,.417,.527,.943,139,266,11,8,0,4,10,*23/DH,posadjo01
126,Mark Quinn,2000,26,KCR,AL,135,544,500,76,147,92,33,2,20,78,5,2,35,91,.294,.342,.488,.830,105,244,11,3,3,3,1,7D/H98,quinnma01
127,Manny Ramírez,2000,28,CLE,AL,118,532,439,92,154,80,34,2,38,122,1,1,86,117,.351,.457,.697,1.154,186,306,9,3,0,4,9,9D,ramirma02
128,Joe Randa,2000,30,KCR,AL,158,665,612,88,186,138,29,4,15,106,6,3,36,66,.304,.343,.438,.781,94,268,19,6,1,10,3,*5/DH,randajo01
129,Pokey Reese,2000,27,CIN,NL,135,577,518,76,132,94,20,6,12,46,29,3,45,86,.255,.319,.386,.705,76,200,8,6,3,5,5,*4/H,reesepo01
130,Desi Relaford,2000,26,PHISDP,NL,128,502,410,55,88,66,14,3,5,46,13,0,75,71,.215,.351,.300,.651,69,123,10,12,3,2,7,*6/H,relafde01
131,Edgar Rentería,2000,23,STL,NL,150,643,562,94,156,107,32,1,16,76,21,13,63,77,.278,.346,.423,.770,93,238,19,1,8,9,3,*6/H,renteed01
132,Álex Rodríguez,2000,24,SEA,AL,148,672,554,134,175,98,34,2,41,132,15,4,100,121,.316,.420,.606,1.026,163,336,10,7,0,11,5,*6,rodrial01
133,Scott Rolen,2000,25,PHI,NL,128,541,483,88,144,80,32,6,26,89,8,1,51,99,.298,.370,.551,.920,129,266,4,5,0,2,9,*5/H,rolensc01
134,Tim Salmon,2000,31,ANA,AL,158,680,568,108,165,93,36,2,34,97,0,2,104,139,.290,.404,.540,.945,135,307,14,6,0,2,5,*9D/H,salmoti01
135,Rey Sánchez,2000,32,KCR,AL,143,555,509,68,139,118,18,2,1,38,7,3,28,55,.273,.314,.322,.637,61,164,17,4,11,3,0,*6/H,sanchre01
136,David Segui,2000,33,CLETEX,AL,150,634,574,93,192,130,42,1,19,103,0,1,53,84,.334,.388,.510,.898,125,293,20,1,0,6,2,3D/9H,seguida01
137,Richie Sexson,2000,25,CLEMIL,ALNL,148,607,537,89,146,85,30,1,30,91,2,0,59,159,.272,.349,.499,.848,112,268,11,7,0,4,2,37D/H,sexsori01
138,Gary Sheffield,2000,31,LAD,NL,141,612,501,105,163,93,24,3,43,109,4,6,101,71,.325,.438,.643,1.081,176,322,13,4,0,6,7,*7/D,sheffga01
139,Chris Singleton,2000,27,CHW,AL,147,566,511,83,130,92,22,5,11,62,22,7,35,85,.254,.301,.382,.683,71,195,6,1,12,4,2,*87/HD,singlch01
140,J.T. Snow,2000,32,SFG,NL,155,627,536,82,152,98,33,2,19,96,1,3,66,129,.284,.365,.459,.824,113,246,20,11,0,14,6,*3/H,snowj.01
141,Sammy Sosa,2000,31,CHC,NL,156,705,604,106,193,104,38,1,50,138,7,4,91,168,.320,.406,.634,1.040,161,383,12,2,0,8,19,*9/8,sosasa01
142,Matt Stairs,2000,32,OAK,AL,143,562,476,74,108,61,26,0,21,81,5,2,78,122,.227,.333,.414,.747,92,197,7,1,1,6,4,9DH/38,stairma01
143,Shannon Stewart,2000,26,TOR,AL,136,631,583,107,186,117,43,5,21,69,20,5,37,79,.319,.363,.518,.882,118,302,12,6,1,4,1,*7/8,stewash01
144,B.J. Surhoff,2000,35,ATLBAL,ALNL,147,587,539,69,157,105,36,2,14,68,10,2,41,58,.291,.344,.443,.787,101,239,10,3,2,2,3,*7H/D,surhob.01
145,Mike Sweeney,2000,26,KCR,AL,159,717,618,105,206,147,30,0,29,144,8,3,71,67,.333,.407,.523,.930,131,323,15,15,0,13,5,*3D,sweenmi01
146,Miguel Tejada,2000,26,OAK,AL,160,681,607,105,167,104,32,1,30,115,6,0,66,102,.275,.349,.479,.828,111,291,15,4,2,2,6,*6/H,tejadmi01
147,Frank Thomas,2000,32,CHW,AL,159,707,582,115,191,104,44,0,43,143,1,3,112,94,.328,.436,.625,1.061,163,364,13,5,0,8,18,*D3/H,thomafr04
148,Jim Thome,2000,29,CLE,AL,158,684,557,106,150,79,33,1,37,106,1,0,118,171,.269,.398,.531,.929,132,296,8,4,0,5,4,3D/H,thomeji01
149,José Valentín,2000,30,CHW,AL,144,648,568,107,155,87,37,6,25,92,19,2,59,106,.273,.343,.491,.835,107,279,11,4,13,4,1,*6/H9,valenjo03
150,Jason Varitek,2000,28,BOS,AL,139,519,448,55,111,69,31,1,10,65,1,1,60,84,.248,.342,.388,.730,83,174,16,6,1,4,3,*2H/D,varitja01
